agency_cd,site_no,datetime,tz_cd,datetime,101280_00060,101280_00060_cd,
USGS,8353000,9/1/2019,21:30,9/1/2019 21:30,MDT,0.13,P
USGS,8353000,9/1/2019,21:45,9/1/2019 21:45,MDT,0.13,P
USGS,8353000,9/1/2019,22:00,9/1/2019 22:00,MDT,0.13,P
USGS,8353000,9/1/2019,22:15,9/1/2019 22:15,MDT,0.13,P
USGS,8353000,9/1/2019,22:30,9/1/2019 22:30,MDT,0.13,P
USGS,8353000,9/1/2019,22:45,9/1/2019 22:45,MDT,0.13,P
USGS,8353000,9/1/2019,23:00,9/1/2019 23:00,MDT,0.13,P
USGS,8353000,9/1/2019,23:15,9/1/2019 23:15,MDT,0.11,P
USGS,8353000,9/1/2019,23:30,9/1/2019 23:30,MDT,0.11,P
USGS,8353000,9/1/2019,23:45,9/1/2019 23:45,MDT,0.11,P
USGS,8353000,9/2/2019,0:00,9/2/2019 0:00,MDT,0.1,P
USGS,8353000,9/2/2019,0:15,9/2/2019 0:15,MDT,0.1,P
USGS,8353000,9/2/2019,0:30,9/2/2019 0:30,MDT,0.1,P
USGS,8353000,9/2/2019,0:45,9/2/2019 0:45,MDT,0.09,P
USGS,8353000,9/2/2019,1:00,9/2/2019 1:00,MDT,0.09,P
USGS,8353000,9/2/2019,1:15,9/2/2019 1:15,MDT,0.09,P
USGS,8353000,9/2/2019,1:30,9/2/2019 1:30,MDT,0.09,P
USGS,8353000,9/2/2019,1:45,9/2/2019 1:45,MDT,0.09,P
USGS,8353000,9/2/2019,2:00,9/2/2019 2:00,MDT,0.08,P
USGS,8353000,9/2/2019,2:15,9/2/2019 2:15,MDT,0.08,P
USGS,8353000,9/2/2019,2:30,9/2/2019 2:30,MDT,0.08,P
USGS,8353000,9/2/2019,2:45,9/2/2019 2:45,MDT,0.08,P
USGS,8353000,9/2/2019,3:00,9/2/2019 3:00,MDT,0.08,P
USGS,8353000,9/2/2019,3:15,9/2/2019 3:15,MDT,0.08,P
USGS,8353000,9/2/2019,3:30,9/2/2019 3:30,MDT,0.08,P
USGS,8353000,9/2/2019,3:45,9/2/2019 3:45,MDT,0.08,P
USGS,8353000,9/2/2019,4:00,9/2/2019 4:00,MDT,0.07,P
USGS,8353000,9/2/2019,4:15,9/2/2019 4:15,MDT,0.08,P
USGS,8353000,9/2/2019,4:30,9/2/2019 4:30,MDT,0.08,P
USGS,8353000,9/2/2019,4:45,9/2/2019 4:45,MDT,0.08,P
USGS,8353000,9/2/2019,5:00,9/2/2019 5:00,MDT,0.08,P
USGS,8353000,9/2/2019,5:15,9/2/2019 5:15,MDT,0.08,P
USGS,8353000,9/2/2019,5:30,9/2/2019 5:30,MDT,0.08,P
USGS,8353000,9/2/2019,5:45,9/2/2019 5:45,MDT,0.08,P
USGS,8353000,9/2/2019,6:00,9/2/2019 6:00,MDT,0.08,P
USGS,8353000,9/2/2019,6:15,9/2/2019 6:15,MDT,0.08,P
USGS,8353000,9/2/2019,6:30,9/2/2019 6:30,MDT,0.08,P
USGS,8353000,9/2/2019,6:45,9/2/2019 6:45,MDT,0.08,P
USGS,8353000,9/2/2019,7:00,9/2/2019 7:00,MDT,0.08,P
USGS,8353000,9/2/2019,7:15,9/2/2019 7:15,MDT,0.08,P
USGS,8353000,9/2/2019,7:30,9/2/2019 7:30,MDT,0.08,P
USGS,8353000,9/2/2019,7:45,9/2/2019 7:45,MDT,0.07,P
USGS,8353000,9/2/2019,8:00,9/2/2019 8:00,MDT,0.08,P
USGS,8353000,9/2/2019,8:15,9/2/2019 8:15,MDT,0.08,P
USGS,8353000,9/2/2019,8:30,9/2/2019 8:30,MDT,0.08,P
